"Baccalaureate colleges-liberal arts"
"1996","44.7454","36.0330","18.2393","0.9823","100%",
"2000","32.8747","29.8761","26.8675","10.3818","100%",
"2004","39.7621","28.2921","25.4247","6.5211","100%",
"2008","37.4609","22.6657","27.3932","12.4802","100%",
"2012","36.2717","22.2939","25.2676","16.1667","100%",
"2016","33.8455","20.6906","25.3517","20.1122","100%",
"Baccalaureate colleges-general"
"1996","45.1348","38.8481","14.2716","1.7455 !","100%",
"2000","38.7836","30.5912","23.0784","7.5468","100%",
"2004","37.3840","31.0051","23.5314","8.0794","100%",
"2008","30.7537","26.5548","27.3990","15.2926","100%",
"2012","26.1221","24.9568","27.4188","21.5023","100%",
"2016","28.7907","20.6161","26.1467","24.4466","100%",
"Baccalaureate/associate's colleges"
"1996","53.9023","38.2358","7.8619 !!","#","100%",
"2000","53.6987","28.7883","14.2434","3.2696 !","100%",
"2004","36.2162","38.7277","18.4496 !","6.6066 !","100%",
"2008","42.9878","26.4568","21.0476","9.5079","100%",
"2012","37.6608","25.9351","19.7579","16.6463","100%",
"2016","53.2909","14.8329","13.9125","17.9636","100%",
"Associate's colleges"
"1996","80.5990","16.8723","2.4399","0.0888","100%",
"2000","73.9479","18.8517","6.0114","1.1890","100%",
"2004","75.9142","16.2601","6.4332","1.3925","100%",
"2008","68.3400","19.3762","9.2871","2.9967","100%",
"2012","61.7920","19.7635","12.5301","5.9144","100%",
"2016","62.6691","18.0255","12.2360","7.0694","100%",
"Specialized-theological seminaries"
"1996","42.7603","45.5559","11.5806 !","0.1032 !!","100%",
"2000","37.0831 !","39.2231","22.3180","1.3758 !!","100%",
"2004","40.7704","35.2339","18.1828","5.8129 !!","100%",
"2008","42.7602 !","23.3596 !","27.0456 !","6.8346 !","100%",
"2012","38.7426 !!","10.4921 !!","25.9535 !","24.8119 !!","100%",
"2016","36.4876","29.8724","22.3715 !","11.2684 !!","100%",
"Specialized-medical schools and centers"
"1996","‡","‡","‡","‡","100%",
"2000","28.6507","16.5655","29.1197","25.6641","100%",
"2004","28.6638","23.4284","25.2867","22.6211","100%",
"2008","25.4588","9.6807","32.0082","32.8523","100%",
"2012","23.5876 !","18.6574 !!","22.2158","35.5392","100%",
"2016","29.5426","13.6822 !","12.1932 !","44.5820","100%",
"Specialized-other separate health prof schools"
"1996","74.5053","17.8030 !!","7.2656 !!","0.4261 !!","100%",
"2000","17.3499 !","31.7910","33.7033 !","17.1558 !","100%",
"2004","23.4619","25.8625","21.6631 !","29.0124 !","100%",
"2008","17.4517 !","19.3061","28.0187","35.2236","100%",
"2012","16.1791 !","14.0988","27.9504","41.7717","100%",
"2016","12.1832 !!","5.2346 !!","25.7920 !","56.7903","100%",
"Specialized-engineering and technology"
"1996","14.4837","39.1888","43.6910","2.6365 !!","100%",
"2000","30.1891 !","40.3872","20.8944","8.5293 !","100%",
"2004","33.6441 !","32.6344","22.4038","11.3177 !","100%",
"2008","22.1473","36.2225","26.6694","14.9607","100%",
"2012","13.6390","18.4736","28.5929","39.2946","100%",
"2016","25.0714","19.7262","21.8180","33.3844","100%",
"Specialized-business and management"
"1996","53.3549","34.3157","10.1651 !!","2.1643 !!","100%",
"2000","57.3508","26.7729","12.3999 !","3.4764 !!","100%",
"2004","26.5134","35.8432","26.7599","10.8835","100%",
"2008","32.7222","21.8604","25.0173","20.4001","100%",
"2012","27.5235","22.8296","26.3125","23.3343","100%",
"2016","22.7776","25.9130","25.7299","25.5795","100%",
"Specialized-art, music, and design"
"1996","43.5233","34.3758","20.4487","1.6522 !","100%",
"2000","23.4350","37.1010","21.9362","17.5278","100%",
"2004","20.2261","29.4931","30.9406","19.3402","100%",
"2008","25.7507","18.7939","24.4854","30.9699","100%",
"2012","25.3503","16.3029","25.4562","32.8905","100%",
"2016","30.9828","18.2699","20.9505","29.7968","100%",
"Specialized-schools of law"
"1996","‡","‡","‡","‡","100%",
"2000","‡","‡","‡","‡","100%",
"2004","‡","‡","‡","‡","100%",
"2008","‡","‡","‡","‡","100%",
"2012","‡","‡","‡","‡","100%",
"2016","‡","‡","‡","‡","100%",
"Specialized-teachers colleges"
"1996","20.7727","51.0286","28.1987","#","100%",
"2000","‡","‡","‡","‡","100%",
"2004","35.8208","40.2229","23.9563 !!","#","100%",
"2008","‡","‡","‡","‡","100%",
"2012","‡","‡","‡","‡","100%",
"2016","‡","‡","‡","‡","100%",
"Specialized-other specialized"
"1996","19.6466","38.8226","37.6288","3.9020","100%",
"2000","8.5329 !!","53.5602 !!","36.0316 !!","1.8754 !!","100%",
"2004","39.7748 !","26.0347","28.4990","5.6915 !","100%",
"2008","45.9696","27.8432","15.5854","10.6018","100%",
"2012","47.9806","20.8305 !","20.1279","11.0610 !","100%",
"2016","31.4644","16.6200 !","23.2426","28.6730","100%",
"Tribal colleges and universities"
"1996","82.3746","13.0544","4.5710","#","100%",
"2000","63.2276","23.0390","13.7334","#","100%",
"2004","80.4316","17.2564 !!","0.8491 !!","1.4629 !!","100%",
"2008","70.8299","20.7404","5.1379 !!","3.2918 !","100%",
"2012","74.6224 !","20.7014 !!","4.6762 !!","#","100%",
"2016","‡","‡","‡","‡","100%",
"Private for-profit degree-granting"
"1996","—","—","—","—","100%",
"2000","—","—","—","—","100%",
"2004","20.6588","45.3556","26.3981","7.5874","100%",
"2008","10.4962","40.0860","36.4110","13.0068","100%",
"2012","17.3583","26.5378","29.6167","26.4872","100%",
"2016","18.2616","23.4184","27.7128","30.6071","100%",
"Not degree-granting"
"1996","—","—","—","—","100%",
"2000","—","—","—","—","100%",
"2004","33.7550","54.6621","10.7220","0.8609","100%",
"2008","30.9431","46.6345","20.5256","1.8967","100%",
"2012","22.9645","41.8276","29.8450","5.3629","100%",
"2016","27.2501","38.4342","26.8900","7.4258","100%",

"— Not available."
"# Rounds to zero."
"! Interpret data with caution. Estimate is unstable because the standard error represents more than 30 percent of the estimate."
"!! Interpret data with caution. Estimate is unstable because the standard error represents more than 50 percent of the estimate."
"‡ Reporting standards not met."
"NOTE: The following variables have varying value categories and labels across dataset years: CC2000."
"View the Descriptive Statistics for these variables in the workspace to learn more about the variable categories."
"For TrendStats the names of the variables used in this table are: BORAMT1 and CC2000. The variable names are unique identifiers. To locate these variables in TrendStats, enter the variable name in the search box."
"For PowerStats the names of the variables used in this table are: BORAMT1 (NPSAS:1996, NPSAS:2000, NPSAS:2004, NPSAS:2008, NPSAS:2012, NPSAS:2016) and CC2000 (NPSAS:1996, NPSAS:2000, NPSAS:2004, NPSAS:2008, NPSAS:2012, NPSAS:2016)."
"The weight variable used in this table is WTA000."
"Source: U.S. Department of Education, National Center for Education Statistics, 1995-96 National Postsecondary Student Aid Study (NPSAS:96), 1999-2000 National Postsecondary Student Aid Study (NPSAS:2000), 2003-04 National Postsecondary Student Aid Study (NPSAS:04), 2007-08 National Postsecondary Student Aid Study (NPSAS:08), 2011-12 National Postsecondary Student Aid Study (NPSAS:12) and 2015-16 National Postsecondary Student Aid Study (NPSAS:16)."
"Computation by NCES TrendStats on 10/7/2018."
